36.52224,138.35003, m1,NA
36.52177,138.34958, m10,NA
36.52136,138.34964, m11,NA
36.52107,138.34913, m12,NA
36.52097,138.34914, m13,NA
36.5209,138.34919, m14,NA
36.52111,138.34954, m15,NA
36.52111,138.35, m16,NA
36.52146,138.34974, m17,NA
36.52154,138.35018, m18,NA
36.5217,138.35025, m19,NA
36.52211,138.35011, m2,NA
36.52161,138.35055, m20,NA
36.5214,138.35028, m21,NA
36.52157,138.3489, m22,NA
36.52135,138.34914, m23,NA
36.52197,138.34898, m24,NA
36.52194,138.3501, m3,NA
36.52131,138.35002, m4,NA
36.52127,138.34994, m5,NA
36.52168,138.34992, m6,NA
36.52177,138.34966, m7,NA
36.52206,138.34975, m8,NA
36.52195,138.34953, m9,NA
36.52188,138.34964, p001,2022-07-28
36.52193,138.34961, p002,2022-07-28
36.52195,138.34951, p003,2022-07-28
36.52204,138.34958, p004,2022-07-28
36.52207,138.34938, p005,2022-07-28
36.52212,138.34947, p006,2022-07-28
36.52212,138.34952, p007,2022-07-28
36.52208,138.34953, p008,2022-07-28
36.522,138.35021, p009,2022-07-28
36.52215,138.34969, p010,2022-07-28
36.52219,138.34975, p011,2022-07-28
36.52223,138.34976, p012,2022-07-28
36.52229,138.34977, p013,2022-07-28
36.52226,138.34996, p014,2022-07-28
36.52217,138.35003, p015,2022-07-28
36.52184,138.34969, p016,2022-07-28
36.52186,138.34976, p017,2022-07-28
36.52185,138.34984, p018,2022-07-28
36.52181,138.34983, p019,2022-07-28
36.52183,138.34988, p020,2022-07-28
36.52184,138.34998, p021,2022-07-28
36.522,138.35001, p022,2022-07-28
36.52207,138.35005, p023,2022-07-28
36.52208,138.35011, p024,2022-07-28
36.52214,138.3502, p025,2022-07-28
36.52218,138.35029, p026,2022-07-28
36.52208,138.35039, p027,2022-07-28
36.5221,138.35047, p028,2022-07-28
36.52083,138.34919, p029,2022-07-29
36.52085,138.34917, p030,2022-07-29
36.5209,138.34916, p031,2022-07-29
36.52094,138.34909, p032,2022-07-29
36.52117,138.34898, p033,2022-07-29
36.52136,138.34889, p034,2022-07-29
36.52155,138.34867, p035,2022-07-29
36.52168,138.34877, p036,2022-07-29
36.5219,138.34872, p037,2022-07-29
36.52198,138.34865, p038,2022-07-29
36.52205,138.3485, p039,2022-07-29
36.52109,138.34936, p040,2022-07-29
36.52107,138.34948, p041,2022-07-29
36.52223,138.34876, p042,2022-07-29
36.52225,138.34865, p043,2022-07-29
36.52215,138.34876, p044,2022-07-29
36.52225,138.34889, p045,2022-07-29
36.52121,138.34945, p046,2022-07-29
36.52147,138.34951, p047,2022-07-29
36.52156,138.3495, p048,2022-07-29
36.52165,138.34957, p049,2022-07-29
36.52169,138.35006, p050,2022-07-29
36.52174,138.3502, p051,2022-07-29
36.52182,138.35044, p052,2022-07-29
36.52175,138.35052, p053,2022-07-29
36.52166,138.35058, p054,2022-07-29
36.52175,138.35069, p055,2022-07-29
36.5223,138.35007, p056,2022-07-30
36.52227,138.35024, p057,2022-07-30
36.5222,138.35037, p058,2022-07-30
36.52217,138.35053, p059,2022-07-30
36.52212,138.35063, p060,2022-07-30
36.52201,138.3507, p061,2022-07-30
36.52188,138.35064, p062,2022-07-30
36.52171,138.35082, p063,2022-07-30
36.52161,138.35082, p064,2022-07-30
36.52149,138.35057, p065,2022-07-30
36.52138,138.35048, p066,2022-07-30
36.52157,138.35026, p067,2022-07-30
36.5215,138.35009, p068,2022-07-30
36.52155,138.34988, p069,2022-07-30
36.52135,138.34983, p070,2022-07-30
36.52153,138.34965, p071,2022-07-30
36.52166,138.34985, p072,2022-07-30
36.52191,138.35036, p073,2022-07-30
36.522,138.35016, p074,2022-07-30
36.52185,138.35016, p075,2022-07-30
36.52158,138.3504, p076,2022-07-30
36.52128,138.35031, p077,2022-07-30
36.52107,138.35023, p078,2022-07-30
36.52118,138.35044, p079,2022-07-30
36.52199,138.35101, p080,2022-07-30
36.52216,138.34985, p081,2022-07-31
36.52238,138.35061, p082,2022-07-31
36.52206,138.3509, p083,2022-07-31
36.52205,138.35131, p084,2022-07-31
36.52205,138.35144, p085,2022-07-31
36.5221,138.3516, p086,2022-07-31
36.52217,138.3507, p087,2022-07-31
36.52222,138.35055, p088,2022-07-31
36.52208,138.35028, p089,2022-07-31
36.52204,138.35028, p090,2022-07-31
36.52167,138.35031, p091,2022-07-31
36.52143,138.35038, p092,2022-07-31
36.52141,138.35021, p093,2022-07-31
36.52125,138.35, p094,2022-07-31
36.52112,138.35002, p095,2022-07-31
36.52096,138.34919, p096,2022-07-31
36.52103,138.34912, p097,2022-07-31
36.52111,138.34903, p098,2022-07-31
36.52114,138.34906, p099,2022-07-31
36.52122,138.34904, p100,2022-07-31
36.52128,138.34901, p101,2022-07-31
36.5213,138.34888, p102,2022-07-31
36.52146,138.34905, p103,2022-07-31
36.52152,138.34908, p104,2022-07-31
36.52162,138.34895, p105,2022-07-31
36.52143,138.34888, p106,2022-07-31
36.52185,138.34958, p107,2022-08-01
36.52193,138.34974, p108,2022-08-01
36.52198,138.34985, p109,2022-08-01
36.52211,138.34968, p110,2022-08-01
36.52176,138.34925, p111,2022-08-01
36.52185,138.34921, p112,2022-08-01
36.52186,138.34897, p113,2022-08-01
36.52183,138.34879, p114,2022-08-01
36.52178,138.34864, p115,2022-08-01
36.52183,138.34855, p116,2022-08-01
36.52191,138.34849, p117,2022-08-01
36.52196,138.34837, p118,2022-08-01
36.52215,138.34864, p119,2022-08-01
36.52206,138.34871, p120,2022-08-01
36.5214,138.34973, p121,2022-08-04
36.52134,138.34969, p122,2022-08-04
36.52128,138.34985, p123,2022-08-04
36.52173,138.34954, p124,2022-08-04
36.52167,138.34975, p125,2022-08-04
36.52132,138.34994, p126,2022-08-04